gestion,codigo_municipio,area,edad,sexo,valor
2024,10501,rural,16,hombre,85
2024,10501,rural,16,mujer,79
2024,10501,rural,17,hombre,82
2024,10501,rural,17,mujer,64
2024,10501,rural,18,hombre,68
2024,10501,rural,18,mujer,51
2024,10501,rural,19,hombre,60
2024,10501,rural,19,mujer,67
2024,10501,rural,20,hombre,73
2024,10501,rural,20,mujer,49
2024,10501,rural,21,hombre,52
2024,10501,rural,21,mujer,65
2024,10501,rural,22,hombre,73
2024,10501,rural,22,mujer,61
2024,10501,rural,23,hombre,88
2024,10501,rural,23,mujer,62
2024,10501,rural,24,hombre,108
2024,10501,rural,24,mujer,89
2024,10501,rural,25,hombre,95
2024,10501,rural,25,mujer,70
2024,10501,rural,26,hombre,86
2024,10501,rural,26,mujer,69
2024,10501,rural,27,hombre,99
2024,10501,rural,27,mujer,69
2024,10501,rural,28,hombre,112
2024,10501,rural,28,mujer,81
2024,10501,urbana,16,hombre,122
2024,10501,urbana,16,mujer,146
2024,10501,urbana,17,hombre,117
2024,10501,urbana,17,mujer,107
2024,10501,urbana,18,hombre,109
2024,10501,urbana,18,mujer,110
2024,10501,urbana,19,hombre,101
2024,10501,urbana,19,mujer,103
2024,10501,urbana,20,hombre,110
2024,10501,urbana,20,mujer,112
2024,10501,urbana,21,hombre,124
2024,10501,urbana,21,mujer,113
2024,10501,urbana,22,hombre,115
2024,10501,urbana,22,mujer,99
2024,10501,urbana,23,hombre,118
2024,10501,urbana,23,mujer,132
2024,10501,urbana,24,hombre,104
2024,10501,urbana,24,mujer,143
2024,10501,urbana,25,hombre,103
2024,10501,urbana,25,mujer,106
2024,10501,urbana,26,hombre,117
2024,10501,urbana,26,mujer,122
2024,10501,urbana,27,hombre,119
2024,10501,urbana,27,mujer,115
2024,10501,urbana,28,hombre,128
2024,10501,urbana,28,mujer,118
2024,10502,rural,16,hombre,48
2024,10502,rural,16,mujer,47
2024,10502,rural,17,hombre,64
2024,10502,rural,17,mujer,53
2024,10502,rural,18,hombre,51
2024,10502,rural,18,mujer,39
2024,10502,rural,19,hombre,35
2024,10502,rural,19,mujer,24
2024,10502,rural,20,hombre,51
2024,10502,rural,20,mujer,36
2024,10502,rural,21,hombre,37
2024,10502,rural,21,mujer,36
2024,10502,rural,22,hombre,43
2024,10502,rural,22,mujer,30
2024,10502,rural,23,hombre,50
2024,10502,rural,23,mujer,54
2024,10502,rural,24,hombre,59
2024,10502,rural,24,mujer,45
2024,10502,rural,25,hombre,53
2024,10502,rural,25,mujer,48
2024,10502,rural,26,hombre,46
2024,10502,rural,26,mujer,52
2024,10502,rural,27,hombre,64
2024,10502,rural,27,mujer,35
2024,10502,rural,28,hombre,47
2024,10502,rural,28,mujer,44
2024,10601,rural,16,hombre,101
2024,10601,rural,16,mujer,101
2024,10601,rural,17,hombre,113
2024,10601,rural,17,mujer,103
2024,10601,rural,18,hombre,93
2024,10601,rural,18,mujer,79
